Task ID,Task Name,Photo by,Action Type,Text,Environment,Taxonomy,Skill,HDF5 count,length(step),Data Size(GB),evaluation,comments,Sound data,Box URL,??,??,Date,Total steps
0023,cable_routing_8pin_cross,Hayase,Pass through eight pins alternately,Pull the eight pins alternately from the left and right sides.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,route,50,1000,352,?,????????2?????????????????????????????????????????,FALSE,https://aist.box.com/s/srppertbcpd56y3pu33gbxldnpagn51s,TRUE,TRUE,2024/09/04,50000
0024,cable_routing_cross_narrow,Hayase,The ball passes through four closely spaced pins in an alternating fashion,Pull alternately left and right on eight closely spaced pins.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,route,50,1000,327,?,??????????3????????????????????????????4???????????????????,FALSE,https://aist.box.com/s/2nxnhydcylfess2k2ddic0owt6y112u9,TRUE,TRUE,2024/09/11,50000
0025,usb_mark_001,Shiba,Insert usb into the port at the end of usb hub,Insert the USB into the front port of the fixed hub.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,50,1000,327,?,????????????????????????,FALSE,https://aist.box.com/s/q2btasutfpmtt2ht3lukdbl9qypu5ljd,TRUE,TRUE,2024/10/03,50000
0026,usb_mark_002,Shiba,Insert usb into the center port of usb hub,Insert the USB into the center port of the fixed hub,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,50,1000,327,?,???????????????usb_mark_001?????????????????????,FALSE,https://aist.box.com/s/q2btasutfpmtt2ht3lukdbl9qypu5ljd,TRUE,TRUE,2024/10/03,50000
0027,usb_mark_003,Shiba,Insert usb into the second port from the end of usb hub,Insert the USB into the second port from the front of the fixed hub.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,50,1000,327,?,?????????????????????????????????,FALSE,https://aist.box.com/s/mozsj4hw1cbe7u16g9drpxmkgdch9nzl,TRUE,TRUE,2024/10/03,50000
0028,cable_routing_ring_deliver,Hayase,Take the USB cable and pass it through the ring in the middle,Thread the cable through the middle ring and pass it from right to left.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,200,1000,1300,?,??????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/inv9x47vszx97l9qrwuscpueju4zsdhm,TRUE,TRUE,2024/10/03,200000
0029,cable_routing_ring_deliver_far,Hayase,Take the USB cable and pass it through the ring on the left,Thread the cable through the left ring and pass it from right to left.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,200,1000,1200,?,???????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/ajv94b0vogtgg6l8u5v2etyb5nbyqgyq,TRUE,TRUE,2024/10/03,200000
0030,cable_routing_ring_deliver_near,Hayase,Take the USB cable and pass it through the ring on the right,Thread the cable through the right ring and pass it from right to left.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,200,1000,1300,?,?????????????????????????????????????????????????,FALSE,https://aist.box.com/s/7rsmzcetrsllwq3o2h6kek8wvy2vthmm,TRUE,TRUE,2024/10/03,200000
0031,insert_wooden_stake,Hayase,Insert a wooden stick into a hole in a wooden board,Insert a stick into a hole in a wooden board.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,insert,30,1000,196,�,????????????????????????????????????????,FALSE,https://aist.box.com/s/o4xifb2d7zkwmy5ocxk3b3c8h2068m8n,TRUE,TRUE,2024/10/03,30000
0032,move_board_insert_wooden_stake,Hayase,Place the wooden board in the designated position and insert the wooden stick into the hole in the board.,Position the wooden board and insert the stick into the hole.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,place,30,1000,196,?,????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/moqckbkkoc9gawx5gc34obchd3akcjlm,TRUE,TRUE,2024/10/03,30000
0033,move_board_insert_wooden_stake_offset,Hayase,Place the wooden board in the designated position and insert the wooden stick into the hole in the board.,Position the wooden board and insert the stick into the hole.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,place,30,1000,196,�,?????????????????????????????????????????,FALSE,https://aist.box.com/s/9w5arkhoth4egedhcsh2eh5j8edmxeh5,TRUE,TRUE,2024/10/03,30000
0034,wire_one_hole_pass,Hayase,"Hold the wire, pass it through the hole and pull it from the other side.",Thread the wire through the hole and pull it to the left.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,30,1000,208,�,????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/ri52oz7orl48muk7a39rpufznj575t5g,TRUE,TRUE,2024/10/03,30000
0035,wire_one_hole_pass_red,Hayase,"Hold the wire, pass it through the red hole and pull it from the other side.",Thread the wire through the hole marked in red and pull it to the left.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,30,1000,199,?,????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/yn0tj1yh3p45ftvybp29x6n8nmdh8hjg,TRUE,TRUE,2024/10/03,30000
0036,insert_usb_cable_board,Hayase,Take the USB cable and plug it into the board.,Insert the USB into the fixed PCB.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,50,1000,327,�,USB????????????????????????????????????????,FALSE,https://aist.box.com/s/pox26l2br65ut80hqr6eq0qyp9jvdqko,TRUE,TRUE,2024/10/03,50000
0037,put_cup_in_cupholder_001,Shiba,Put cup in cupholder with both arms,"Holding the cup holder with the left arm, the right arm places the cup into the cup holder.","robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Synchronous Bimanual,place,30,1000,196,�,??????????????????????????????????????????????????,FALSE,https://aist.box.com/s/m2ojpwelbp20pa2iw6q8jqsgeelvofh6,TRUE,TRUE,2024/10/03,30000
0038,put_cup_in_cupholder_002,Shiba,Put cup in cupholder with both arms separated move,Put a paper cup into the cup holder on your left arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,place,30,1000,196,?,?????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/zgqi2jk491gaksccs3aka69srtjmjtxq,TRUE,TRUE,2024/10/30,30000
0039,put_cup_in_cupholder_003,Shiba,Put cup in cupholder with both arms change the position,Put the paper cup into the moved cup holder.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,place,30,1000,196,�,????????????????????????????????????,FALSE,https://aist.box.com/s/bkon65qn0624pj0fj0sbfa09gbjnddvx,TRUE,TRUE,2024/10/30,30000
0040,put_cup_in_cupholder_004,Shiba,Put cup in cupholder with both arms change the position,Put the paper cup into the moved red handle cup holder.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,place,100,1000,640,?,?????100?????????????????????????????????????????,FALSE,???? https://aist.box.com/s/g0b2bo3biw9wwncqdah3wssh3y56h34r,TRUE,TRUE,2024/10/30,100000
0041,put_tape_in_basket,Hayase,Grab the tape and put it in the basket,Put the tape into the white basket.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,put,30,1000,198,?,???????????????????????????????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/8hq21op2uudvucu10wf1zzdyizxjdq1k,TRUE,TRUE,2024/10/09,30000
0042,put_center_tape_in_basket,Hayase,Grab the tape in the middle and put it in the basket.,Put the tape in the middle into the white basket.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,put,30,1000,214,?,?????????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/ftfq84rbjf6lehdtb2gr7tliedxe2q13,TRUE,TRUE,2024/10/10,30000
0043,wire_one_hole_pass_red_3cm_left,Hayase,"Hold the wire and insert it into the hole 3cm to the left, then pull it from the other side.",Thread the wire through the hole on the left side and pull it with the left arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,30,1000,197,?,???????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/y1944jvu9gga94wpx3vgha5sln2yewy1,TRUE,TRUE,2024/10/04,30000
0044,wire_one_hole_pass_red_3cm_right,Hayase,"Hold the wire and insert it into the hole 3cm to the right, then pull it from the other side.",Thread the wire through the hole on the right side and pull it with the left arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,30,1000,197,?,???????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/drhcf305girtmrom427a9nou9lnps2qc,TRUE,TRUE,2024/10/07,30000
0045,wire_one_hole_pass_red_retake,Hayase,"Hold the wire, insert it into the hole, and pull it from the other side (retake)",Thread the wire through the hole marked in red and pull it to the left. (retake),"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,route,30,1000,197,?,???????????????????wire_one_hole_pass_red_3cm_left??????????????????????????????????,FALSE,https://aist.box.com/s/v5q07t7y052dua9l76ip6avl99y8o02f,TRUE,TRUE,2024/10/08,30000
0046,color_tape_grab_and_insert,Hayase,Use the left and right arms to grab the tape and place it in the basket,Put the tape alternately from left to right into the white case.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,put,100,3000,1900,?,??????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/k5k1t0g5ka4gc1scwl1ohcavqkx79v11,TRUE,TRUE,2024/10/15,300000
0047,color_tape_grab_and_insert_left_hand,Hayase,Use the right arm to grab the tape and place it in the basket.,Put the tape into the white case with the left arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,put,50,3000,946,?,????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/zdhnz38eniqhytlxzle8omop6z9cqx81,TRUE,TRUE,2024/10/18,150000
0048,color_tape_grab_and_insert_right_hand,Hayase,Use the left arm to grab the tape and place it in the basket.,Put the tape into the white case with the right arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,put,50,3000,947,?,????????????????????left_hand????????????????????????????????????????,FALSE,https://aist.box.com/s/42344un8753fhqgvvfv5skoub7imu9je,TRUE,TRUE,2024/10/22,150000
0049,goods_grab_and_insert,Hayase,Use the left and right arms to grab the item and put it in the basket.,Put the products in the white case alternately on the left and right.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,put,50,3000,921,?,?????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/8yrd2jcxlpyp4uxl2x7y9zt1yu4uamon,TRUE,TRUE,2024/10/23,150000
0050,goods_grab_and_insert_left_hand,Hayase,Use the left arm to grab the item and place it in the basket,Put the product into the white case with the left arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,put,50,3000,980,?,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/td5i6tgcqj0sdz6mvi02qts8a2mff1a3,TRUE,TRUE,2024/10/25,150000
0051,goods_grab_and_insert_right_hand,Hayase,Use the right arm to grab the item and place it in the basket,Put the product into the white case with the right arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,put,50,3000,951,?,??????????????????????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/y9maghpnb5m87uv7vefavb5rslmvlprg,TRUE,TRUE,2024/10/29,150000
0052,insert_washer_into_the_shaft_001,Shiba,insert washer into the shaft with both arms,Insert the washer onto the shaft with both hands.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,30,1000,196,?,?????????,FALSE,https://aist.box.com/s/6n2nn7mq6ab7a7pr0qu9ywvljdcdq7yp,TRUE,TRUE,2024/10/30,30000
0053,insert_washer_into_the_shaft_002,Shiba,insert washer into the shaft with both arms change the position,Insert the washer onto the shaft with both hands.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,100,1000,636,?,????????????????????????????????????????,FALSE,https://aist.box.com/s/r5ouu9mn7vzp92jx8k2abj13314bl118,TRUE,TRUE,2024/10/30,100000
0054,insert_usb_into_the_three_rings_002,Shiba,insert usb into the three rings change the position,Thread the cable through the three holes.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,50,2000,636,�,?????30??50?????????????????????????????????????????????????,FALSE,https://aist.box.com/s/ayydqdsdgyrwl9c6gaej4m9vlv13obi6,TRUE,TRUE,2024/10/30,100000
0055,silver_pouch_001,Shiba,Stand the silver pouch,Stand the silver pouch upright.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,hand-over,30,1000,196,?,????????????????????????????????,FALSE,???? https://aist.box.com/s/g0b2bo3biw9wwncqdah3wssh3y56h34r,TRUE,TRUE,2024/10/30,30000
0056,silver_pouch_002,Shiba,Stand the silver pouch change the position,Stand the silver pouch upright.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,hand-over,30,1000,196,?,???????????????????????????26cm???????????????,FALSE,???? https://aist.box.com/s/g0b2bo3biw9wwncqdah3wssh3y56h34r,TRUE,TRUE,2024/10/30,30000
0057,silver_pouch_003,Shiba,Stand the silver pouch front right position,Stand the silver pouch upright.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,hand-over,4,1000,29,�,??????????????????????????????epoch1000?????????????????,FALSE,???? https://aist.box.com/s/g0b2bo3biw9wwncqdah3wssh3y56h34r,TRUE,TRUE,2024/10/30,4000
0058,silver_pouch_004,Shiba,Stand the silver pouch six positions 2cm intervals,Stand the silver pouch upright.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,hand-over,30,1000,196,?,2cm???6???5???????????????????????6????2???????????????,FALSE,???? https://aist.box.com/s/g0b2bo3biw9wwncqdah3wssh3y56h34r,TRUE,TRUE,2024/10/30,30000
0059,clear_zipper_bag_001,Shiba,Stand the clear_zipper_bag,Stand the transparent bag upright.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,hand-over,30,1000,196,?,?????????????silver_pouch_001????????????????????????????????????,FALSE,https://aist.box.com/s/c26l01s3pi8axaltt59nwnu589ly1dkg,TRUE,TRUE,2024/10/30,30000
0060,clear_zipper_bag_reel_001,Shiba,Remove the reel from the clear zipper bag,Take out the reel from the transparent bag.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,pick,30,1000,196,?,???????????????????????????????????,FALSE,https://aist.box.com/s/q0349712xk7fv2d364goysb0dw6jc5l7,TRUE,TRUE,2024/10/30,30000
0061,clear_zipper_bag_reel_002,Shiba,Remove the reel from the clear zipper bag six positions 2cm intervals,Take out the reel from the transparent bag.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,pick,30,1000,196,?,?????????????2cm?????????????????????????????,FALSE,https://aist.box.com/s/k2d6zft5rvi3g404d2ixtherxtbrf614,TRUE,TRUE,2024/10/30,30000
0062,receive_goods_and_add_to_basket,Hayase,"The left arm grabs the product and passes it to the right arm, which then places it in a white basket.",Pass the goods from the left arm to the right arm and place them in the white case.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,put,100,3000,1800,?,??????????????????????????????????????????????????????????????????????????,FALSE,,TRUE,TRUE,2024/11/04,300000
0063,receive_another_goods_and_add_to_basket,Hayase,"The left arm grabs a different product than 63 and passes it to the right arm, which then places it in the white basket.",Pass the goods from the left arm to the right arm and place them in the white case.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,put,50,3000,938,?,?????????????????????????????????????????????????????????????????,FALSE,,TRUE,TRUE,2024/11/07,150000
0064,receive_goods_and_add_to_basket_in_center,Hayase,"The left arm grabs the product and passes it to the right arm, which then places it in the white basket in the middle.",Pass the goods from the left arm to the right arm and place them in the white case in the middle.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,put,50,3000,938,?,???????????????????????????????????????????????????????????,FALSE,,TRUE,TRUE,2024/11/08,150000
0065,peel_off_magic_tape,Hayase,Hold the Velcro and peel it off with your right arm,Peel off the Velcro with your right arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,peel,50,1000,330,?,?????????????,TRUE,,TRUE,TRUE,2024/11/18,50000
0066,remove_the_tape,Hayase,Hold the duct tape and peel it off with your right arm,Peel off the duct tape with your right arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,peel,50,1000,308,?,?????????????,TRUE,,TRUE,TRUE,2024/11/19,50000
0067,sliding_the_gears,Hayase,Slide the gear across the wooden table,Slide the gear with the right arm,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,slide,50,1000,308,?,?????????????,TRUE,,TRUE,TRUE,2024/11/19,50000
0068,insert_gear_onto_shaft_sliding,Hayase,Hold the gear and slide it onto the shaft before inserting it,Find the location of the shaft and insert the gear.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,insert,50,1000,308,?,?????????????,TRUE,,TRUE,TRUE,2024/11/21,50000
0069,tape_fixed_in_place,Hayase,Grab the tape that is now in place and place it in the basket,Put the tape in the white case in the correct position.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,pick,30,1000,215,?,???????????3???????????????????????????????????????????????????????,TRUE,,TRUE,TRUE,2024/11/25,30000
0070,tape_placed_in_random_places,Hayase,Grab randomly placed tapes and place them in a basket,Put the randomly placed tapes into the white case.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,pick,30,1000,197,?,3??????????????????????????????????????????????????????????,TRUE,,TRUE,TRUE,2024/11/25,30000
0071,tape_placed_in_random_places_long,Hayase,Grab randomly placed tapes and place them in a basket,Put the randomly placed tapes into the white case with both hands.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Unimanual,pick,100,3000,1900,?,??????????????????????????????????????????????????,TRUE,,TRUE,TRUE,2024/11/27,300000
